id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1393673151691755521,1393646131708665858,2021-05-15 16:02:27 Central Daylight Time,2021-05-15,16:02:27,-500,16228398,mcuban,Mark Cuban,,@ANANDDB I never was anti crypto. Ive owned it for years. What I said was that btc had little utility other than as a store of value. What am I talking about now? Utility. And I don’t shill anything.  I said doge was better than a lottery ticket. Then people started using it to buy things,en,[],[],[],43,16,312,[],[],https://twitter.com/mcuban/status/1393673151691755521,False,,0,,,,,,,,"[{'screen_name': 'ANANDDB', 'name': 'Anand Desai-Barochia', 'id': '35026175'}]",,,,
1392611938983632896,1392611938983632896,2021-05-12 17:45:34 Central Daylight Time,2021-05-12,17:45:34,-500,16228398,mcuban,Mark Cuban,,We at  https://t.co/VUydpLFzGh will continue to accept BTC/Eth/Doge because we know that replacing Gold as a store of value will help the environment   https://t.co/bs7NvnJY8A and   https://t.co/ELhbuLOBRV shrinking big bank and coin usage will benefit society and the environment,en,[],"['http://Mavs.com', 'https://www.nytimes.com/2005/10/24/world/behind-golds-glitter-torn-lands-and-pointed-questions.html', 'https://moneyweek.com/investments/alternative-finance/bitcoin/602678/bitcoin-energy-consumption']",[],2026,7074,33399,[],[],https://twitter.com/mcuban/status/1392611938983632896,False,https://twitter.com/elonmusk/status/1392602041025843203,0,,,,,,,,[],,,,
1389006710795296769,1389004112654655489,2021-05-02 18:59:41 Central Daylight Time,2021-05-02,18:59:41,-500,16228398,mcuban,Mark Cuban,,@spindel5 I still don't like btc as a currency. That's always been the issue.  And people aren't using it as currency. No one really buys anything with it. Would you spend your btc ?,en,[],[],[],9,12,46,[],[],https://twitter.com/mcuban/status/1389006710795296769,False,,0,,,,,,,,"[{'screen_name': 'spindel5', 'name': 'BTC 2013', 'id': '129020508'}]",,,,
1389004112654655489,1389004112654655489,2021-05-02 18:49:21 Central Daylight Time,2021-05-02,18:49:21,-500,16228398,mcuban,Mark Cuban,,Crypto succeeds when it's a more productive implementation of it's competition. BTC/Gold are both financial religions. BTC is easy to trade/store/create with no delivery issues. BTC also enables transfer of value locally and globally . Gold is a hassle. Just look at Ft Knox,en,[],[],[],954,3342,17610,[],[],https://twitter.com/mcuban/status/1389004112654655489,False,,0,,,,,,,,[],,,,
1387861184976760834,1387861184976760834,2021-04-29 15:07:46 Central Daylight Time,2021-04-29,15:07:46,-500,16228398,mcuban,Mark Cuban,,"Great. But you will put the $1m into a smart contract and we will take feeds for your stocks and my choice of half eth/btc and the winner's charity gets paid in 10 years, right ?  I'm not taking anybody's word that they will pay up in 10 yrs.  Sorry.",en,[],[],[],117,101,1151,[],[],https://twitter.com/mcuban/status/1387861184976760834,False,https://twitter.com/PeterMallouk/status/1387798040073981953,0,,,,,,,,[],,,,
1387778236093014016,1387778236093014016,2021-04-29 09:38:09 Central Daylight Time,2021-04-29,09:38:09,-500,16228398,mcuban,Mark Cuban,,How about this. We set up a ln eth smart contract. You put in $1m in a stablecoin. I put up $1m in a stablecoin. We write the contract to pay you if the increase in the S&amp;P 500 is higher at the end date than the increase in YOUR choice of BTC or ETH. You can pick the custodian,en,[],[],[],540,648,5714,[],[],https://twitter.com/mcuban/status/1387778236093014016,False,https://twitter.com/mcuban/status/1387768964923760651,0,,,,,,,,[],,,,
1387766099761061889,1387458297213571073,2021-04-29 08:49:56 Central Daylight Time,2021-04-29,08:49:56,-500,16228398,mcuban,Mark Cuban,,"@PeterMallouk Yup. All in on Netflix and Amazon. Sold most of my other stocks I bought in March. Hedged interest rate risk. Told everyone that my stock buying thesis is to buy companies great at AI. Used some cash to buy more btc, eth, MKR Holding some cash for next downturn. Rinse/Repeat",en,[],[],[],5,1,13,[],[],https://twitter.com/mcuban/status/1387766099761061889,False,,0,,,,,,,,"[{'screen_name': 'PeterMallouk', 'name': 'Peter Mallouk', 'id': '712853262450429952'}]",,,,
1387432242197139464,1387432239328219137,2021-04-28 10:43:18 Central Daylight Time,2021-04-28,10:43:18,-500,16228398,mcuban,Mark Cuban,,"If you look at crypto assets whether eth, doge, btc,mkr etc and only see something intangible  for people to trade, you haven't really looked. If you see smart contracts and programming languages and  think of new ways to disrupt industries then I'm saying there's a chance",en,[],[],[],28,165,919,[],[],https://twitter.com/mcuban/status/1387432242197139464,False,,0,,,,,,,,[],,,,
1387277151683100672,1387104609622188037,2021-04-28 00:27:01 Central Daylight Time,2021-04-28,00:27:01,-500,16228398,mcuban,Mark Cuban,,@CoinDesk @TheEllenShow This is exactly why people will buy physical products with doge coin and not with btc and rarely with eth.   It’s hard for someone with $100 to get excited about owning a fraction of btc or eth.  It’s easy with doge. When it appreciates that makes those items easy 2 buy,en,[],[],[],125,484,1530,[],[],https://twitter.com/mcuban/status/1387277151683100672,False,,0,,,,,,,,"[{'screen_name': 'CoinDesk', 'name': 'CoinDesk', 'id': '1333467482'}, {'screen_name': 'TheEllenShow', 'name': 'Ellen DeGeneres', 'id': '15846407'}]",,,,
1386052796294651906,1385607456940720128,2021-04-24 15:21:52 Central Daylight Time,2021-04-24,15:21:52,-500,16228398,mcuban,Mark Cuban,,@merket @jakeudell @chamath And my 2014 position on btc was as right then as it is now. It’s a store of value and not a currency. But I do wish I had taken more of a flyer on it :). Fortunately I did buy a bunch of eth,en,[],[],[],4,3,10,[],[],https://twitter.com/mcuban/status/1386052796294651906,False,,0,,,,,,,,"[{'screen_name': 'merket', 'name': 'merket.eth', 'id': '9189982'}, {'screen_name': 'jakeudell', 'name': 'Jake Udell | Founder of Metalink', 'id': '168640215'}, {'screen_name': 'chamath', 'name': 'Chamath Palihapitiya', 'id': '3291691'}]",,,,
1366857486586757123,1366846009045901319,2021-03-02 15:06:34 Central Standard Time,2021-03-02,15:06:34,-500,16228398,mcuban,Mark Cuban,,@CryptoHarper What i said a couple years ago was that it wasnt a currency and didnt have any immediate utility. Unlike a banana that i could eat :). What has changed is De-Fi. Now BTC/Eth/Others can make you your own personal banker and facilitate many other types of trx Thats utility,en,[],[],[],16,8,87,[],[],https://twitter.com/mcuban/status/1366857486586757123,False,,0,,,,,,,,"[{'screen_name': 'CryptoHarper', 'name': 'Harpiverse', 'id': '899442049719709697'}]",,,,
1366787249644445703,1366787249644445703,2021-03-02 10:27:28 Central Standard Time,2021-03-02,10:27:28,-500,16228398,mcuban,Mark Cuban,,"Let me help Peter. Gold is hyped as much as Crypto. Do we really need gold jewelry? Gold can make you a ring. BTC/Eth are technologies that can make you a banker, allow friction free exchange of value and are extensible into an unlimited range of biz and personal applications",en,[],[],[],692,1992,12529,[],[],https://twitter.com/mcuban/status/1366787249644445703,False,https://twitter.com/PeterSchiff/status/1366484514294349830,0,,,,,,,,[],,,,
1343603085281734666,1343603085281734666,2020-12-28 11:01:53 Central Standard Time,2020-12-28,11:01:53,-500,16228398,mcuban,Mark Cuban,,"No disagreement. I love to mess with btc-twitter.  They dont want to admit it is a supply and demand play, just like every other tradeable asset.   https://t.co/HAosxBB9XR   applies to btc today like it did to stocks 16yrs ago ""Fundamentals is a word sellers use to attract buyers""",en,[],['https://blogmaverick.com/2013/01/10/the-stock-market-2/'],[],248,57,765,[],[],https://twitter.com/mcuban/status/1343603085281734666,False,https://twitter.com/dytfin/status/1343582364967063563,0,,,,,,,,[],,,,
1343290421498155009,1343254155092062209,2020-12-27 14:19:28 Central Standard Time,2020-12-27,14:19:28,-500,16228398,mcuban,Mark Cuban,,"@yungNleveraged You do realize that physical shares aren’t trading any longer. That any company could address any of these issues in many different ways and many are already addressed. And by the way, both BTC and shares are subject to the regulation",en,[],[],[],8,2,73,[],[],https://twitter.com/mcuban/status/1343290421498155009,False,,0,,,,,,,,"[{'screen_name': 'yungNleveraged', 'name': 'YungNLeveraged', 'id': '212196421'}]",,,,
1341770350766469121,1341770350766469121,2020-12-23 09:39:15 Central Standard Time,2020-12-23,09:39:15,-500,16228398,mcuban,Mark Cuban,,Want to spend your $BTC somewhere... Spend it with the Mavs and get a 25 percent discount for using Bitcoin !   https://t.co/De7Y5f28s8,en,[],['http://blitzweekly.com/dallas-mavericks-offer-special-merchandise-discounts-for-bitcoin-buyers/'],[],853,448,4534,[],['btc'],https://twitter.com/mcuban/status/1341770350766469121,False,,0,,,,,,,,[],,,,
1340708605960609793,1340659634290511872,2020-12-20 11:20:15 Central Standard Time,2020-12-20,11:20:15,-500,16228398,mcuban,Mark Cuban,,"@diveej3 We have been accepting btc for mavs tickets and merch  for YEARS.  You do realize a MAJOR reason for the move in btc,Bach, eth is the move in interest rates ? Or have you ignored the pricing moves in all other alt assets?",en,[],[],[],2,0,3,[],[],https://twitter.com/mcuban/status/1340708605960609793,False,,0,,,,,,,,"[{'screen_name': 'diveej3', 'name': 'Diveej Shrestha🧢', 'id': '1177798510160355329'}]",,,,
1340013801178075146,1339663761355882497,2020-12-18 13:19:21 Central Standard Time,2020-12-18,13:19:21,-500,16228398,mcuban,Mark Cuban,,"@AriDavidPaul @gladstein @Talk_BTC All of course is hypothetical.  But the bigger point is that IMO, any asset is worth what someone will pay for it. The change in pricing rarely reflects the underlying qualities of that asset.  Same as stocks. Get long and get loud has more impact than anything else",en,[],[],[],10,1,13,[],[],https://twitter.com/mcuban/status/1340013801178075146,False,,0,,,,,,,,"[{'screen_name': 'AriDavidPaul', 'name': 'Ari Paul ⛓️', 'id': '847882255540342784'}, {'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340013308469010435,1339663761355882497,2020-12-18 13:17:23 Central Standard Time,2020-12-18,13:17:23,-500,16228398,mcuban,Mark Cuban,,"@AriDavidPaul @gladstein @Talk_BTC What percent of new buyers actually own btc ? They use ETFs , fractional and other means to avoid the complexities. Yes the ETF could possibly hold in street name for them. But will they ? And the supply/demand dynamics could change",en,[],[],[],5,1,7,[],[],https://twitter.com/mcuban/status/1340013308469010435,False,,0,,,,,,,,"[{'screen_name': 'AriDavidPaul', 'name': 'Ari Paul ⛓️', 'id': '847882255540342784'}, {'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340012369737641986,1339663761355882497,2020-12-18 13:13:39 Central Standard Time,2020-12-18,13:13:39,-500,16228398,mcuban,Mark Cuban,,@gladstein @StrictlyBidnazz @Talk_BTC Don’t agree. To a bad actor it’s a cost benefit analysis.,en,[],[],[],11,0,5,[],[],https://twitter.com/mcuban/status/1340012369737641986,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340009812457910273,1339663761355882497,2020-12-18 13:03:30 Central Standard Time,2020-12-18,13:03:30,-500,16228398,mcuban,Mark Cuban,,"@gladstein @StrictlyBidnazz @Talk_BTC Again , if you can identify those who control 83% of hashing , you can influence those people in a variety of ways. If greed is good, there may be other incentives to miners.  It’s not like mining is becoming more lucrative",en,[],[],[],14,0,10,[],[],https://twitter.com/mcuban/status/1340009812457910273,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340006988940517377,1339663761355882497,2020-12-18 12:52:16 Central Standard Time,2020-12-18,12:52:16,-500,16228398,mcuban,Mark Cuban,,@ZackG1982 @gladstein @StrictlyBidnazz @Talk_BTC I stand corrected. 83pct of hashing power  decided to make the change. But that doesn’t change the point. It actually strengthens it.,en,[],[],[],3,0,0,[],[],https://twitter.com/mcuban/status/1340006988940517377,False,,0,,,,,,,,"[{'screen_name': 'ZackG1982', 'name': 'Zack', 'id': '1292989486385725446'}, {'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340004603321049093,1339663761355882497,2020-12-18 12:42:48 Central Standard Time,2020-12-18,12:42:48,-500,16228398,mcuban,Mark Cuban,,"@gladstein @StrictlyBidnazz @Talk_BTC This is where we disagree. Look at the 2017 agreement. When you can identify and communicate with 83% of the market cap of btc, that means you can find them and influence them and that influence may or may not go the way you want it to. That is a huge risk. Self interest &lt;&gt; Greed",en,[],[],[],7,0,6,[],[],https://twitter.com/mcuban/status/1340004603321049093,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340003475585966082,1339663761355882497,2020-12-18 12:38:19 Central Standard Time,2020-12-18,12:38:19,-500,16228398,mcuban,Mark Cuban,,@gladstein @StrictlyBidnazz @Talk_BTC Self interest and greed are not always one and the same.,en,[],[],[],3,0,5,[],[],https://twitter.com/mcuban/status/1340003475585966082,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1340002920008454145,1339663761355882497,2020-12-18 12:36:06 Central Standard Time,2020-12-18,12:36:06,-500,16228398,mcuban,Mark Cuban,,@StrictlyBidnazz @gladstein @Talk_BTC Social good ? It’s the right thing to do to help others ?,en,[],[],[],12,0,5,[],[],https://twitter.com/mcuban/status/1340002920008454145,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1339999528062234626,1339663761355882497,2020-12-18 12:22:38 Central Standard Time,2020-12-18,12:22:38,-500,16228398,mcuban,Mark Cuban,,@gladstein @Talk_BTC Ok Nostradamus :),pt,[],[],[],4,0,13,[],[],https://twitter.com/mcuban/status/1339999528062234626,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1339997165465325568,1339663761355882497,2020-12-18 12:13:14 Central Standard Time,2020-12-18,12:13:14,-500,16228398,mcuban,Mark Cuban,,@gladstein @AriDavidPaul @Talk_BTC And you think the outcome will always be the same ?,en,[],[],[],76,4,9,[],[],https://twitter.com/mcuban/status/1339997165465325568,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'AriDavidPaul', 'name': 'Ari Paul ⛓️', 'id': '847882255540342784'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
1339995729587269632,1339663761355882497,2020-12-18 12:07:32 Central Standard Time,2020-12-18,12:07:32,-500,16228398,mcuban,Mark Cuban,,"@AriDavidPaul @gladstein @Talk_BTC If the only expected value from btc and the blockchain is financial, you would “likely” be right. However, it is not the only value.  Is there a scenario where whales and the majority of stakeholders’ interest diverge ? I think that’s inevitable",en,[],[],[],12,0,18,[],[],https://twitter.com/mcuban/status/1339995729587269632,False,,0,,,,,,,,"[{'screen_name': 'AriDavidPaul', 'name': 'Ari Paul ⛓️', 'id': '847882255540342784'}, {'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'Talk_BTC', 'name': 'Bob Rubin', 'id': '1314763916535357446'}]",,,,
