id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1381358986348351488,1381286684030033920,2021-04-11 16:30:21 Central Daylight Time,2021-04-11,16:30:21,-0500,918804624303382528,100trillionusd,PlanB,,@enronpaul1 @BTC_Archive @Cipherhoodlum That is correct,en,[],[],[],0,1,8,[],[],https://twitter.com/100trillionUSD/status/1381358986348351488,False,,0,,,,,,,,"[{'screen_name': 'enronpaul1', 'name': 'Aaron', 'id': '1348289590453420039'}, {'screen_name': 'BTC_Archive', 'name': 'Bitcoin Archive 🗄🚀🌔', 'id': '970994516357472257'}, {'screen_name': 'Cipherhoodlum', 'name': 'BITCOIN☂️⚡🇸🇻 丰', 'id': '721964509078937600'}]",,,,
1381303548001054722,1381286684030033920,2021-04-11 12:50:03 Central Daylight Time,2021-04-11,12:50:03,-0500,918804624303382528,100trillionusd,PlanB,,"@Cipherhoodlum Grey line is calculated by looking at every single utxo (totals to 18.7M btc): at which data they last transacted on chain, lookup price, then weighted average. So in short, it is the average cost price of a btc. I did not use third party data, just my core node and python.",en,[],[],[],4,9,169,[],[],https://twitter.com/100trillionUSD/status/1381303548001054722,False,,0,,,,,,,,"[{'screen_name': 'Cipherhoodlum', 'name': 'BITCOIN☂️⚡🇸🇻 丰', 'id': '721964509078937600'}]",,,,
1380838341055238145,1380832605487177732,2021-04-10 06:01:29 Central Daylight Time,2021-04-10,06:01:29,-0500,918804624303382528,100trillionusd,PlanB,,@onair_blair @MarcoCryptoRevo ~$5.5T market cap / ~19M BTC = $288K,vi,[],[],[],2,4,79,[],[],https://twitter.com/100trillionUSD/status/1380838341055238145,False,,0,,,,,,,,"[{'screen_name': 'onair_blair', 'name': '₿LAIR🎙', 'id': '48351717'}, {'screen_name': 'MarcoCryptoRevo', 'name': 'Marco CryptoRevolution', 'id': '961207857218760705'}]",,,,
1380837670646128640,1380832605487177732,2021-04-10 05:58:50 Central Daylight Time,2021-04-10,05:58:50,-0500,918804624303382528,100trillionusd,PlanB,,"@Investor0061 @theendgame666 correct, ~$5.5T market cap / ~19M BTC = $288K, by end of 2021 IMO",en,[],[],[],7,6,70,[],[],https://twitter.com/100trillionUSD/status/1380837670646128640,False,,0,,,,,,,,"[{'screen_name': 'Investor0061', 'name': 'Swing Rider', 'id': '1271980463616221184'}, {'screen_name': 'theendgame666', 'name': 'HODL ⚽️ zilliqa', 'id': '1373563934536515590'}]",,,,
1380618504030814215,1380449475546730499,2021-04-09 15:27:56 Central Daylight Time,2021-04-09,15:27:56,-0500,918804624303382528,100trillionusd,PlanB,,"@DaanCrypto @CryptoMichNL @BTC_JackSparrow @DTCcryptotrades @JJcycles @damskotrades @Phoenix_Ash3s @cryptochimpanz @CryptoJelleNL @TraderLenny @Dentoshi @CryptoCourage1 @TraderAbu @Mimi_crypto_god 🙏If it ain't Dutch, it ain't much😎",en,[],[],[],9,2,122,[],[],https://twitter.com/100trillionUSD/status/1380618504030814215,False,,0,,,,,,,,"[{'screen_name': 'DaanCrypto', 'name': 'Daan Crypto Trades', 'id': '918138253617790976'}, {'screen_name': 'CryptoMichNL', 'name': 'Michaël van de Poppe', 'id': '146008010'}, {'screen_name': 'BTC_JackSparrow', 'name': '//Bitcoin 𝕵ack 🐐', 'id': '380546370'}, {'screen_name': 'DTCcryptotrades', 'name': 'DTC Crypto Trading', 'id': '1010914047963860992'}, {'screen_name': 'JJcycles', 'name': 'ALTBTC𝕔𝕪𝕔𝕝𝕖𝕤 🔄', 'id': '947098577540657152'}, {'screen_name': 'damskotrades', 'name': 'CryptoAmsterdam', 'id': '1004687124141150208'}, {'screen_name': 'Phoenix_Ash3s', 'name': 'Phoenix', 'id': '1238489745208082433'}, {'screen_name': 'cryptochimpanz', 'name': 'Chimp of the North ⚛️', 'id': '1007179644825726976'}, {'screen_name': 'CryptoJelleNL', 'name': 'Jelle', 'id': '787634466'}, {'screen_name': 'TraderLenny', 'name': 'Lenny', 'id': '241613764'}, {'screen_name': 'Dentoshi', 'name': 'Dentoshi', 'id': '1019932961632866305'}, {'screen_name': 'CryptoCourage1', 'name': 'Courage 🐾', 'id': '942817793787023360'}, {'screen_name': 'Mimi_crypto_god', 'name': 'Mimi', 'id': '1218831925089067008'}]",,,,
1380080218891816960,1380079131241627648,2021-04-08 03:48:59 Central Daylight Time,2021-04-08,03:48:59,-0500,918804624303382528,100trillionusd,PlanB,,"@sotirisneofo Yes I am not very consistent in terms, I sometimes say s2f when I mean s2fx (latest s2f model). s2f is the btc-only time series model and forecasts $100k this cycle. s2fx is based on btc, gold, silver, diamonds, real estate data, not a time series and forecasts $288k this cycle.",en,[],[],[],4,16,178,[],[],https://twitter.com/100trillionUSD/status/1380080218891816960,False,,0,,,,,,,,"[{'screen_name': 'sotirisneofo', 'name': 'sotiris neofo 🇬🇷 🇨🇦 🇪🇸', 'id': '612538131'}]",,,,
1380079574545993729,1380070411510149124,2021-04-08 03:46:25 Central Daylight Time,2021-04-08,03:46:25,-0500,918804624303382528,100trillionusd,PlanB,,@MarioTinton @skewdotcom thanks for sharing Deribit is also settle in BTC,en,[],[],[],2,0,9,[],[],https://twitter.com/100trillionUSD/status/1380079574545993729,False,,0,,,,,,,,"[{'screen_name': 'MarioTinton', 'name': 'Mario 🇮🇩 マリオ 🇯🇵', 'id': '61386107'}, {'screen_name': 'skewdotcom', 'name': 'skew', 'id': '1039429642099322880'}]",,,,
1380077283462025218,1380070411510149124,2021-04-08 03:37:19 Central Daylight Time,2021-04-08,03:37:19,-0500,918804624303382528,100trillionusd,PlanB,,"@skewdotcom Large spread difference between offshore and CME futures basis, because offshore is settled in BTC and CME in USD.",en,[],[],[],3,6,145,[],[],https://twitter.com/100trillionUSD/status/1380077283462025218,False,,0,,,,,,,,"[{'screen_name': 'skewdotcom', 'name': 'skew', 'id': '1039429642099322880'}]",,,,
1379847626540077064,1379770685401268229,2021-04-07 12:24:45 Central Daylight Time,2021-04-07,12:24:45,-0500,918804624303382528,100trillionusd,PlanB,,"@hashtagagitated it is a floor, never goes down and btc (month close) never goes below",en,[],[],[],2,1,43,[],[],https://twitter.com/100trillionUSD/status/1379847626540077064,False,,0,,,,,,,,"[{'screen_name': 'hashtagagitated', 'name': 'hashtag_agitated', 'id': '739884700039254016'}]",,,,
1379804811319779330,1379770685401268229,2021-04-07 09:34:37 Central Daylight Time,2021-04-07,09:34:37,-0500,918804624303382528,100trillionusd,PlanB,,@JohnCar70674171 No first model was too conservative. I rounded the parameters to BTC=0.4*S2F^3 because $55K already seemed like a crazy high number when I made the model in March 2019 (BTC &lt;$4K). Others replicated the model (as did I) and came up with higher parameters: 3.1 - 3.5 and ~$100K BTC.,en,[],[],[],7,2,102,[],[],https://twitter.com/100trillionUSD/status/1379804811319779330,False,,0,,,,,,,,"[{'screen_name': 'JohnCar70674171', 'name': 'John Carrigan', 'id': '1371493243276439552'}]",,,,
